08:54:39.763 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
08:54:44.034 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001512
08:54:44.054 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001509
08:54:44.071 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001246
08:54:44.087 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001603
08:54:44.105 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001693
08:54:44.123 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001388
08:54:44.142 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001480
08:54:44.163 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001494
08:54:44.182 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001570
08:54:44.206 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001983
08:54:44.229 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001862
08:54:44.245 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001412
08:54:44.263 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.003026
08:54:44.280 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001401
08:54:44.298 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001332
08:54:44.314 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001275
08:54:44.336 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.003253
08:54:44.355 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001392
08:54:44.373 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001762
08:54:44.390 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001437
08:54:44.412 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001462
08:54:44.433 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001699
08:54:44.451 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001481
08:54:44.469 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001730
08:54:44.487 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001381
08:54:44.506 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001609
08:54:44.525 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001609
08:54:44.546 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001422
08:54:44.564 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001539
08:54:44.583 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001571
08:54:44.600 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001655
08:54:44.615 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001219
08:54:44.630 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001255
08:54:44.647 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001446
08:54:44.672 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001477
08:54:44.697 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001626
08:54:44.718 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.003969
08:54:44.737 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001711
08:54:44.758 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001651
08:54:44.777 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001322
08:54:44.796 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001462
08:54:44.814 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001530
08:54:44.832 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001652
08:54:44.851 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001335
08:54:44.872 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001495
08:54:44.896 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001696
08:54:44.916 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001728
08:54:44.936 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001430
08:54:44.981 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002528
08:54:45.012 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002586
08:54:45.031 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001970
08:54:45.052 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001948
08:54:45.072 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001794
08:54:45.093 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001392
08:54:45.112 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001773
08:54:45.159 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002704
08:54:45.182 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002059
08:54:45.203 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001742
08:54:45.226 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001751
08:54:45.249 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002211
08:54:45.278 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002036
08:54:45.302 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001423
08:54:45.324 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003745
08:54:45.349 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001723
08:54:45.368 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001756
08:54:45.391 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002247
08:54:45.413 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001800
08:54:45.433 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001692
08:54:45.453 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001837
08:54:45.473 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001508
08:54:45.492 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001628
08:54:45.514 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002153
08:54:45.533 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001723
08:54:45.557 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002982
08:54:45.578 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001567
08:54:45.600 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.003135
08:54:45.620 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001563
08:54:45.640 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001664
08:54:45.661 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001416
08:54:45.680 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001924
08:54:45.703 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001515
08:54:45.722 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001951
08:54:45.742 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001451
08:54:45.761 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001395
08:54:45.783 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.003529
08:54:45.806 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001991
08:54:45.829 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001610
08:54:45.854 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001608
08:54:45.876 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001534
08:54:45.899 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002455
08:54:45.920 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001739
08:54:45.940 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001933
08:54:45.962 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001537
08:54:45.980 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002029
08:54:45.999 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001616
08:54:46.019 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001571
08:54:46.039 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001999
08:54:46.060 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002042
08:54:46.080 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001630
08:54:46.098 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001480
08:54:46.119 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001765
08:54:46.140 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001937
08:54:46.175 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002114
08:54:46.210 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.003607
08:54:46.253 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002267
08:54:46.289 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002465
08:54:46.356 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002593
08:54:46.378 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002114
08:54:46.400 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001912
08:54:46.429 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002176
08:54:46.468 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002148
08:54:46.506 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002576
08:54:46.531 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002064
08:54:46.572 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002448
08:54:46.593 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.003909
08:54:46.612 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001415
08:54:46.630 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001662
08:54:46.652 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001612
08:54:46.672 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002099
08:54:46.690 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001731
08:54:46.715 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001855
08:54:46.741 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002044
08:54:46.762 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001577
08:54:46.780 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001668
08:54:46.801 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001470
08:54:46.820 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001416
08:54:46.838 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001961
08:54:46.858 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001493
08:54:46.882 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001938
08:54:46.902 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002021
08:54:46.924 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001910
08:54:46.947 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001593
08:54:46.971 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001604
08:54:46.993 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001690
08:54:47.014 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002216
08:54:47.034 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002220
08:54:47.063 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001465
08:54:47.105 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001683
08:54:47.132 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002754
08:54:47.162 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001861
08:54:47.184 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002179
08:54:47.209 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002230
08:54:47.241 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.003130
08:54:47.271 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002015
08:54:47.295 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001985
08:54:47.326 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002526
08:54:47.367 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002495
08:54:47.390 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002179
08:54:47.421 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002006
08:54:47.444 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001885
08:54:47.467 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002875
08:54:47.493 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.003758
08:54:47.515 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002546
08:54:47.534 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001764
08:54:47.556 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001800
08:54:47.576 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001678
08:54:47.599 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002371
08:54:47.620 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001798
08:54:47.643 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002127
08:54:47.665 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002153
08:54:47.698 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002017
08:54:47.722 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002354
08:54:47.742 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001603
08:54:47.768 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.003257
08:54:47.789 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002087
08:54:47.811 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001683
08:54:47.836 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001949
08:54:47.860 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.003108
08:54:47.887 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002021
08:54:47.911 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002123
08:54:47.931 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002325
08:54:47.955 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002029
08:54:47.974 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001542
08:54:47.994 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001982
08:54:48.016 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001933
08:54:48.051 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001729
08:54:48.086 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001990
08:54:48.119 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.006784
08:54:48.146 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002233
08:54:48.172 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002033
08:54:48.195 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002010
08:54:48.221 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001843
08:54:48.247 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.003091
08:54:48.268 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002111
08:54:48.288 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001608
08:54:48.310 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001781
08:54:48.332 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001941
08:54:48.352 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002257
08:54:48.393 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.010182
08:54:48.475 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002663
08:54:48.533 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002533
08:54:48.565 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001994
08:54:48.617 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003156
08:54:48.652 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001943
08:54:48.671 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001509
08:54:48.694 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001494
08:54:48.715 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001617
08:54:48.735 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001774
08:54:48.758 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001901
08:54:48.776 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001711
08:54:48.796 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001458
08:54:48.815 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001592
08:54:48.833 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001504
08:54:48.853 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001628
08:54:48.871 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001579
08:54:48.891 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001355
08:54:48.914 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001834
08:54:48.934 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001489
08:54:48.954 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.001616
08:54:48.972 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001606
08:54:48.989 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001378
08:54:49.006 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001483
08:54:49.025 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001563
08:54:49.043 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001594
08:54:49.063 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.002016
08:54:49.082 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001503
08:54:49.102 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001752
08:54:49.121 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001753
08:54:49.138 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001240
08:54:49.157 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001533
08:54:49.177 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001485
08:54:49.200 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-56zqh
|200|0.001532
08:54:49.221 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002228
08:54:49.246 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002054
08:54:49.270 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002343
08:54:49.290 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.001613
08:54:49.313 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001834
08:54:49.359 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002418
08:54:49.408 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-ncpfc
|200|0.002628
08:54:49.440 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002477
08:54:49.464 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002528
08:54:49.484 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002136
08:54:49.502 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001836
08:54:49.524 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bxv2v
|200|0.002071
08:54:49.551 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001675
