08:55:23.704 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
08:55:31.460 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001937
08:55:31.500 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.004019
08:55:31.530 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002717
08:55:31.555 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002186
08:55:31.576 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002190
08:55:31.596 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001671
08:55:31.617 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001586
08:55:31.639 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002104
08:55:31.661 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002571
08:55:31.683 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001945
08:55:31.704 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001498
08:55:31.723 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001506
08:55:31.743 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001864
08:55:31.763 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001634
08:55:31.783 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001678
08:55:31.810 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002069
08:55:31.830 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001867
08:55:31.849 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001922
08:55:31.868 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001691
08:55:31.888 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001431
08:55:31.907 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001691
08:55:31.952 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001764
08:55:31.978 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001511
08:55:31.998 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001818
08:55:32.019 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002020
08:55:32.040 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002057
08:55:32.060 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001693
08:55:32.081 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001832
08:55:32.103 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001680
08:55:32.125 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001947
08:55:32.147 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002251
08:55:32.170 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001880
08:55:32.193 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002110
08:55:32.219 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002216
08:55:32.241 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001850
08:55:32.263 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001857
08:55:32.285 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001978
08:55:32.307 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001645
08:55:32.327 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002198
08:55:32.347 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001660
08:55:32.366 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001639
08:55:32.387 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.003081
08:55:32.406 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001353
08:55:32.425 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001617
08:55:32.446 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001712
08:55:32.463 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001609
08:55:32.484 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002110
08:55:32.505 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001664
08:55:32.524 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001810
08:55:32.550 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001866
08:55:32.582 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002013
08:55:32.639 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.004884
08:55:32.664 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002500
08:55:32.687 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002338
08:55:32.710 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001920
08:55:32.733 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002015
08:55:32.762 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002523
08:55:32.784 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001915
08:55:32.803 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001539
08:55:32.822 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001667
08:55:32.850 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002938
08:55:32.880 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002029
08:55:32.906 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002261
08:55:32.931 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002331
08:55:32.951 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001722
08:55:32.971 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001505
08:55:32.992 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001806
08:55:33.012 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001992
08:55:33.032 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001731
08:55:33.055 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001911
08:55:33.076 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001756
08:55:33.095 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001657
08:55:33.117 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002023
08:55:33.144 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002200
08:55:33.168 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002064
08:55:33.195 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.003010
08:55:33.216 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002091
08:55:33.241 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002458
08:55:33.261 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001817
08:55:33.281 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001796
08:55:33.301 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001821
08:55:33.323 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001863
08:55:33.347 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001776
08:55:33.370 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001717
08:55:33.392 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002018
08:55:33.411 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001657
08:55:33.432 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001640
08:55:33.456 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002273
08:55:33.478 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002189
08:55:33.501 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001856
08:55:33.520 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001747
08:55:33.539 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001877
08:55:33.559 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001759
08:55:33.579 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002211
08:55:33.603 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001732
08:55:33.623 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001880
08:55:33.643 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001717
08:55:33.666 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002018
08:55:33.687 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001640
08:55:33.709 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002000
08:55:33.728 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001576
08:55:33.751 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001783
08:55:33.772 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002533
08:55:33.795 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001776
08:55:33.816 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001640
08:55:33.837 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001927
08:55:33.859 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001966
08:55:33.883 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002835
08:55:33.904 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001739
08:55:33.926 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002143
08:55:33.948 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002382
08:55:33.971 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001994
08:55:33.993 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001993
08:55:34.014 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002468
08:55:34.033 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001564
08:55:34.053 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001576
08:55:34.072 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001446
08:55:34.093 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001626
08:55:34.113 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001935
08:55:34.133 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001738
08:55:34.152 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001845
08:55:34.171 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001296
08:55:34.196 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001898
08:55:34.231 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002339
08:55:34.254 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002012
08:55:34.277 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001930
08:55:34.298 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001933
08:55:34.320 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001742
08:55:34.341 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001886
08:55:34.362 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001834
08:55:34.388 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002218
08:55:34.414 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001580
08:55:34.447 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002076
08:55:34.472 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002340
08:55:34.505 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.002554
08:55:34.531 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002287
08:55:34.557 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.002246
08:55:34.586 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002145
08:55:34.617 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001803
08:55:34.639 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001645
08:55:34.657 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001751
08:55:34.682 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001645
08:55:34.701 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001668
08:55:34.719 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002073
08:55:34.739 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001553
08:55:34.758 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001878
08:55:34.777 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002161
08:55:34.797 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001867
08:55:34.817 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001932
08:55:34.838 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001834
08:55:34.857 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001934
08:55:34.878 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.002186
08:55:34.896 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001538
08:55:34.916 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001533
08:55:34.937 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001960
08:55:34.959 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001451
08:55:34.980 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001784
08:55:34.999 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001674
08:55:35.019 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001935
08:55:35.038 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001686
08:55:35.057 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001598
08:55:35.077 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002219
08:55:35.097 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001615
08:55:35.116 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001543
08:55:35.136 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001593
08:55:35.156 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001802
08:55:35.176 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001570
08:55:35.198 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002166
08:55:35.219 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001689
08:55:35.241 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001646
08:55:35.261 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001607
08:55:35.282 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001644
08:55:35.303 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002474
08:55:35.322 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001897
08:55:35.342 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001515
08:55:35.363 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001792
08:55:35.383 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001593
08:55:35.402 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001649
08:55:35.422 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001679
08:55:35.441 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001521
08:55:35.460 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001581
08:55:35.479 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001804
08:55:35.498 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001575
08:55:35.518 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002039
08:55:35.537 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001754
08:55:35.557 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001686
08:55:35.577 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001590
08:55:35.601 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001637
08:55:35.621 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001398
08:55:35.644 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002285
08:55:35.666 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001268
08:55:35.690 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001689
08:55:35.718 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.002530
08:55:35.744 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002289
08:55:35.770 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001808
08:55:35.791 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001945
08:55:35.813 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001856
08:55:35.834 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001968
08:55:35.856 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001965
08:55:35.879 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002075
08:55:35.904 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002282
08:55:35.935 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001675
08:55:35.958 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002064
08:55:35.980 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002326
08:55:36.002 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001808
08:55:36.026 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.002159
08:55:36.047 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001782
08:55:36.069 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001836
08:55:36.089 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001917
08:55:36.109 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001574
08:55:36.131 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001625
08:55:36.159 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001854
08:55:36.199 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.002508
08:55:36.226 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002437
08:55:36.253 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001944
08:55:36.301 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.002528
08:55:36.343 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.003898
08:55:36.368 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001737
08:55:36.390 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001744
08:55:36.411 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001614
08:55:36.432 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001792
08:55:36.451 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001621
08:55:36.473 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001959
08:55:36.495 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001863
08:55:36.515 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001948
08:55:36.535 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001679
08:55:36.555 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001573
08:55:36.576 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001735
08:55:36.596 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.002048
08:55:36.615 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001481
08:55:36.635 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mw9hx
|200|0.001526
08:55:36.653 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-c94fv
|200|0.001693
08:55:36.675 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001777
08:55:36.695 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001731
08:55:36.714 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001351
08:55:36.732 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-x4gf5
|200|0.001538
08:55:36.761 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001907
08:55:36.781 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-fwzvb
|200|0.001578
08:55:36.801 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001604
08:55:36.818 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-rkw5f
|200|0.001487
08:55:36.837 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-nzbkj
|200|0.001611
08:55:36.857 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-m5k4b
|200|0.001553
08:55:36.876 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001656
08:55:36.894 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001368
