08:53:45.474 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
08:53:48.629 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001466
08:53:48.643 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001016
08:53:48.656 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001696
08:53:48.669 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001662
08:53:48.684 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001695
08:53:48.697 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001772
08:53:48.710 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001382
08:53:48.725 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001236
08:53:48.738 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001229
08:53:48.754 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001619
08:53:48.769 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001279
08:53:48.784 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001069
08:53:48.800 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001508
08:53:48.813 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001182
08:53:48.827 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001339
08:53:48.839 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.000992
08:53:48.852 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.000964
08:53:48.866 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001073
08:53:48.881 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001349
08:53:48.894 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001067
08:53:48.907 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001241
08:53:48.921 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001393
08:53:48.936 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001898
08:53:48.950 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001170
08:53:48.964 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001779
08:53:48.976 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001594
08:53:48.991 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001769
08:53:49.005 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001622
08:53:49.018 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001901
08:53:49.032 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001551
08:53:49.046 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001490
08:53:49.061 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001320
08:53:49.077 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001384
08:53:49.092 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001704
08:53:49.108 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002241
08:53:49.123 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002203
08:53:49.136 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001620
08:53:49.149 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001340
08:53:49.161 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001559
08:53:49.173 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.000916
08:53:49.187 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.002044
08:53:49.202 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.002227
08:53:49.216 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001924
08:53:49.230 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001203
08:53:49.245 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001196
08:53:49.259 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001230
08:53:49.273 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001527
08:53:49.287 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001224
08:53:49.300 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001302
08:53:49.314 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001772
08:53:49.328 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001442
08:53:49.341 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001914
08:53:49.360 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.006549
08:53:49.374 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001297
08:53:49.387 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001192
08:53:49.401 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001264
08:53:49.414 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001238
08:53:49.427 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001112
08:53:49.439 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001235
08:53:49.453 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001407
08:53:49.466 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001490
08:53:49.480 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001650
08:53:49.493 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001346
08:53:49.508 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001450
08:53:49.521 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001390
08:53:49.534 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001448
08:53:49.547 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.001602
08:53:49.560 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001189
08:53:49.575 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001741
08:53:49.589 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.001787
08:53:49.603 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-vz8dh
|200|0.000865
08:53:49.636 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-fqzqp
|200|0.003434
08:53:49.653 rc=0 TRACK blue | VERSION v1 | pod app-blue-7d4bc8b9c4-bsx8g
|200|0.001305
08:53:49.666 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001408
08:53:49.679 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001397
08:53:49.693 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001284
08:53:49.707 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001450
08:53:49.720 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001199
08:53:49.734 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.000994
08:53:49.747 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001148
08:53:49.760 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001200
08:53:49.773 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001376
08:53:49.788 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001135
08:53:49.801 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001238
08:53:49.813 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001221
08:53:49.826 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001244
08:53:49.839 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001030
08:53:49.851 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001162
08:53:49.864 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001185
08:53:49.888 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001646
08:53:49.901 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001188
08:53:49.915 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001670
08:53:49.928 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001231
08:53:49.941 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001439
08:53:49.956 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001820
08:53:49.970 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001669
08:53:49.983 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001454
08:53:49.998 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.002535
08:53:50.011 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.002121
08:53:50.024 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001150
08:53:50.038 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001287
08:53:50.051 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001449
08:53:50.066 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001455
08:53:50.079 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001297
08:53:50.093 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001139
08:53:50.106 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001235
08:53:50.118 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001416
08:53:50.135 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001398
08:53:50.151 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001393
08:53:50.165 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001715
08:53:50.178 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001296
08:53:50.193 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001855
08:53:50.205 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001549
08:53:50.217 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001317
08:53:50.231 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001184
08:53:50.243 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001149
08:53:50.256 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001194
08:53:50.269 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001077
08:53:50.283 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001186
08:53:50.296 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001446
08:53:50.309 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001298
08:53:50.323 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001719
08:53:50.336 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001642
08:53:50.351 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001758
08:53:50.365 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001724
08:53:50.377 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001028
08:53:50.389 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.000992
08:53:50.402 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001579
08:53:50.415 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001739
08:53:50.428 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001606
08:53:50.441 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001584
08:53:50.456 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001777
08:53:50.470 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001714
08:53:50.485 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001911
08:53:50.499 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001393
08:53:50.513 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001363
08:53:50.528 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001838
08:53:50.540 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001212
08:53:50.553 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001367
08:53:50.565 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001553
08:53:50.578 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001527
08:53:50.594 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001890
08:53:50.607 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001267
08:53:50.620 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001386
08:53:50.633 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001618
08:53:50.649 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001993
08:53:50.661 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001567
08:53:50.675 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001294
08:53:50.689 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001259
08:53:50.702 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001665
08:53:50.715 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001727
08:53:50.728 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001419
08:53:50.741 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001337
08:53:50.755 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001318
08:53:50.768 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001565
08:53:50.781 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001201
08:53:50.796 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001696
08:53:50.808 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001157
08:53:50.821 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001493
08:53:50.837 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001470
08:53:50.853 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001699
08:53:50.867 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001588
08:53:50.883 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001740
08:53:50.895 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001413
08:53:50.909 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001736
08:53:50.924 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.002734
08:53:50.936 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001195
08:53:50.949 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001462
08:53:50.962 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001692
08:53:50.975 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001514
08:53:50.988 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001550
08:53:51.002 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001701
08:53:51.016 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001722
08:53:51.029 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001494
08:53:51.043 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001405
08:53:51.056 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001249
08:53:51.068 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001305
08:53:51.085 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001759
08:53:51.098 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001395
08:53:51.110 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001623
08:53:51.126 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001961
08:53:51.139 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001694
08:53:51.153 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001755
08:53:51.167 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001270
08:53:51.182 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.002328
08:53:51.195 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001468
08:53:51.208 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001685
08:53:51.223 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001375
08:53:51.237 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001289
08:53:51.254 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001148
08:53:51.269 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001102
08:53:51.282 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.000994
08:53:51.294 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001055
08:53:51.306 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001134
08:53:51.318 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001079
08:53:51.331 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001682
08:53:51.344 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001514
08:53:51.360 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001787
08:53:51.375 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001781
08:53:51.389 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001504
08:53:51.401 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.000989
08:53:51.416 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001975
08:53:51.430 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001964
08:53:51.445 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001899
08:53:51.458 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.002090
08:53:51.471 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001686
08:53:51.486 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001728
08:53:51.498 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001370
08:53:51.512 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001864
08:53:51.527 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001873
08:53:51.540 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001235
08:53:51.553 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001109
08:53:51.571 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001875
08:53:51.585 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001797
08:53:51.599 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.000987
08:53:51.615 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001828
08:53:51.629 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001802
08:53:51.643 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001466
08:53:51.658 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.002149
08:53:51.670 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001047
08:53:51.684 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001849
08:53:51.697 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001251
08:53:51.711 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.002073
08:53:51.725 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001943
08:53:51.741 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001612
08:53:51.754 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001123
08:53:51.768 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001485
08:53:51.783 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001311
08:53:51.798 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001144
08:53:51.812 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001427
08:53:51.827 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001305
08:53:51.841 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001022
08:53:51.855 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001380
08:53:51.869 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001202
08:53:51.882 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001378
08:53:51.895 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001416
08:53:51.908 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001810
08:53:51.921 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001521
08:53:51.934 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001891
08:53:51.950 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001588
08:53:51.963 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001180
08:53:51.978 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-mcfdv
|200|0.001054
08:53:51.992 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001593
08:53:52.005 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001712
08:53:52.018 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001221
08:53:52.032 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
|200|0.001850
08:53:52.046 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-kfm97
|200|0.001528
08:53:52.060 rc=0 TRACK green | VERSION v2 | pod app-green-5cf85b9497-pvpnj
